clinic_id,arogya_center,rdhs,province,qr_url
AC-001,Makuruppa,Nuwara Eliya RDHS,Central,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-001
AC-002,Wewakale,Nuwara Eliya RDHS,Central,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-002
AC-003,Polgolla,Kandy RDHS,Central,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-003
AC-004,Meegamwaththa,Kandy RDHS,Central,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-004
AC-005,Kirinda,Kandy RDHS,Central,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-005
AC-006,Doragala,Kandy RDHS,Central,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-006
AC-007,Dankanda,Matale RDHS,Central,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-007
AC-008,Moragolla,Matale RDHS,Central,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-008
AC-009,Kurundankulama,Anuradhapura RDHS,North Central,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-009
AC-010,Ranpathwila,Anuradhapura RDHS,North Central,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-010
AC-011,Meegaswewa,Polonnaruwa RDHS,North Central,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-011
AC-012,Abhayapuragama,Polonnaruwa RDHS,North Central,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-012
AC-013,Kachchakaduwa,Puttalam RDHS,North Western,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-013
AC-014,Iddamalgama,Puttalam RDHS,North Western,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-014
AC-015,Doraweruwa,Kurunegala RDHS,North Western,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-015
AC-016,Ambagammana,Kurunegala RDHS,North Western,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-016
AC-017,Boyawalana,Kurunegala RDHS,North Western,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-017
AC-018,Athoya,Ratnapura RDHS,Sabaragamuwa,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-018
AC-019,Embilipitiya,Ratnapura RDHS,Sabaragamuwa,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-019
AC-020,Fairfield,Kegalle RDHS,Sabaragamuwa,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-020
AC-021,Randiwala,Kegalle RDHS,Sabaragamuwa,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-021
AC-022,Mapalagama,Galle RDHS,Southern,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-022
AC-023,Ampegama,Galle RDHS,Southern,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-023
AC-024,Maduwa,Galle RDHS,Southern,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-024
AC-025,Sitinamaluwa,Hambantota RDHS,Southern,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-025
AC-026,Bedigama,Hambantota RDHS,Southern,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-026
AC-027,Wellathota,Matara RDHS,Southern,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-027
AC-028,Karagoda Uyangoda II,Matara RDHS,Southern,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-028
AC-029,Marangahawela,Badulla RDHS,Uva,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-029
AC-030,Uwa Paranagama,Badulla RDHS,Uva,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-030
AC-031,Puhulkotuwa,Monaragala RDHS,Uva,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-031
AC-032,Muthukandiya,Monaragala RDHS,Uva,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-032
AC-033,Aswatte,Colombo RDHS,Western,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-033
AC-034,Diyagama,Colombo RDHS,Western,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-034
AC-035,Owitigama,Colombo RDHS,Western,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-035
AC-036,Thalpitiya,Kalutara RDHS,Western,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-036
AC-037,Kananwila,Kalutara RDHS,Western,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-037
AC-038,Morapitiya,Kalutara RDHS,Western,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-038
AC-039,Thammita,Gampaha RDHS,Western,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-039
AC-040,Katuwapitiya,Gampaha RDHS,Western,https://vmi3065909.contaboserver.net/arogya/?clinic=AC-040
